x rho vx vy vz p Bx By Bz E
1.538085937500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.134914349923887845e-169 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 4.012528164485514388e-170 8.812499999999998668e-01
1.586914062500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.006960999702747819e-168 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -3.560144756400991616e-169 8.812499999999998668e-01
1.635742187500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -3.513191950599244468e-168 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.242100925939360134e-168 8.812499999999998668e-01
1.684570312500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -3.641663126334510305e-168 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.287522345714068660e-168 8.812499999999998668e-01
1.733398437500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.135968137554312816e-167 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 4.016253866382538367e-168 8.812499999999998668e-01
1.782226562500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.406171432159042851e-167 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 1.911370239968324982e-167 8.812499999999998668e-01
1.831054687500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.164228421334226152e-167 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 2.886490639940688360e-167 8.812499999999998668e-01
1.879882812500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.021031535481860833e-166 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -3.609891612722686388e-167 8.812499999999998668e-01
1.928710937500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.836649980771665477e-166 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -2.770674171594536012e-166 8.812499999999998668e-01
1.977539062500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.567980656624812808e-165 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -5.543648775343706450e-166 8.812499999999998668e-01
2.026367187500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.891842441669513749e-166 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 1.375974090907062122e-166 8.812499999999998668e-01
2.075195312500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.062343247497874258e-164 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 3.755950571267429932e-165 8.812499999999998668e-01
2.124023437500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.732361163113227740e-164 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 9.660355535440632138e-165 8.812499999999998668e-01
2.172851562500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.189740015380804236e-164 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 4.206366163623775331e-165 8.812499999999998668e-01
2.221679687500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.323398168877977944e-163 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -4.678919097117391806e-164 8.812499999999998668e-01
2.270507812500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.417758244831971271e-163 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.561913406281733484e-163 8.812499999999998668e-01
2.319335937500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.341644173477319947e-163 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.535003018282438436e-163 8.812499999999998668e-01
2.368164062500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.454786256769485824e-162 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 5.143446136693488306e-163 8.812499999999998668e-01
2.416992187500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.682594582754699785e-162 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 2.362653972693168349e-162 8.812499999999998668e-01
