x rho vx vy vz p Bx By Bz E
2.270507812500000000e-02 1.250000000000000000e-01 5.403018453585112358e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
2.319335937500000000e-02 1.250000000000000000e-01 3.229534802424042520e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
2.368164062500000000e-02 1.250000000000000000e-01 6.881388464330846433e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
2.416992187500000000e-02 1.250000000000000000e-01 8.036968001000859467e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
2.465820312500000000e-02 1.250000000000000000e-01 6.044565699194570955e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
2.514648437500000000e-02 1.250000000000000000e-01 1.596840940084988628e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
2.563476562500000000e-02 1.250000000000000000e-01 -4.543994773505550774e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
2.612304687500000000e-02 1.250000000000000000e-01 -5.462418743085195707e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
2.661132812500000000e-02 1.250000000000000000e-01 -6.468313286225408429e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
2.709960937500000000e-02 1.250000000000000000e-01 -4.221743551570354044e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
