x rho vx vy vz p Bx By Bz E
1.098632812500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.147460937500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.196289062500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.245117187500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.293945312500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.342773437500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.391601562500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.440429687500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.489257812500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.538085937500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.586914062500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.635742187500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.684570312500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.733398437500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.782226562500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.831054687500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
